first_name,last_name,title,company_name,email_body,word_count,cta_style
Fraser,Kitchell,Cofounder and CEO,KEF Robotics,"Hi Fraser, we have computer-vision and robotics engineers with UAV autonomy and defense-adjacent project background — people who understand perception stacks and real-world flight testing like the work KEF has been doing in Pittsburgh since 2018. No pitch, just a few names that might fit how your team builds. Worth a quick look if timing lines up?",51,Worth a quick look if timing lines up?
Eric,Amoroso,Co-Founder,KEF Robotics,"Hi Eric, we know a couple of embedded-software and perception engineers who have shipped autonomy on constrained platforms — the kind of R&D-to-product path KEF runs for camera-based flight in Pittsburgh. Happy to pass a short note on who we are talking to. Open to a brief note on who we have in mind?",50,Open to a brief note on who we have in mind?
Brittany,Brousseau,Co-founder & Head of Creative,Clipo Labs,"Hi Brittany, we have creative technologists and XR designers with generative-AI and immersive product experience in the Bay Area — folks who have built spatial and virtual environments similar to what Multiverse explores at Clipo. Just profiles worth a skim. Happy to share a few profiles if that would help.",47,Happy to share a few profiles if that would help.
Theo,"Ellis, CFA",Chief Executive Officer,Friday Harbor,"Hi Theo, we have fintech and mortgage-ops engineers with document-verification and workflow automation background — people who understand the loan-file assembly problem Friday Harbor is tackling with AI pre-underwriting in Seattle. Light touch: a couple names in motion. Would a two-line summary be useful on your end?",48,Would a two-line summary be useful on your end?
Bruno,Prado,Founder and CEO,UPX Cybersecurity,"Hi Bruno, we have security engineers and SOC analysts with MSSP, EDR, and incident-response experience — practitioners who know the managed-security model UPX runs across Miami and beyond. Not a vendor note, just people who might fit your bench. Curious if that is on your radar right now?",46,Curious if that is on your radar right now?
Jim,Francis,Chief Executive Officer,ConceptVines,"Hi Jim, we have AI product engineers and platform architects who have modernized legacy systems into intelligence-first infrastructure — the kind of transformation work ConceptVines leads from New York. Casual pass-along of a few profiles. Mind if I send over a short list to react to?",45,Mind if I send over a short list to react to?
Borja,Edo,Chief Executive Officer,Sherpas,"Hi Borja, we have fintech engineers and wealth-advisory product builders with structured-data and compliance-aware workflow experience — people who understand the advice-delivery layer Sherpas is standardizing for advisory firms in Miami. Just names worth scanning. Open to hearing whether this fits your current needs?",47,Open to hearing whether this fits your current needs?
Francisco,Micó,Co-Founder,Sherpas,"Hi Francisco, we have full-stack and data engineers with wealth-management and financial-advice platform background — builders who fit the AI-native infrastructure model Sherpas is putting together in Miami. No deck, just a few people we are tracking. Could I float a couple names your way?",45,Could I float a couple names your way?
Mohammad,Tabaza,Co-Founder,Open (YC W24),"Hi Mohammad, we have ML engineers and support-automation builders with multi-channel CX experience — people who have worked on chat, email, and telephony resolution flows similar to what Open ships for helpdesk teams. Quiet note on who is in our pipeline. Worth a quick look if timing lines up?",48,Worth a quick look if timing lines up?
Mohammad,Gharbat,Founder,Open (YC W24),"Hi Mohammad, we have customer-support AI engineers and conversation-design leads with cost-reduction and complex-issue routing background — builders who understand the 60-80% resolution target Open is hitting from the Bay Area. Just a couple profiles to consider. Open to a brief note on who we have in mind?",48,Open to a brief note on who we have in mind?
Gary,Pick,Connectus: Founder & CEO,Connectus Holdings,"Hi Gary, we have product-ops and growth engineers who have helped SaaS companies scale service platforms with AI-assisted operations — people who match the connect-and-scale model Connectus runs from Baltimore. Nothing formal, just names in circulation. Happy to share a few profiles if that would help.",47,Happy to share a few profiles if that would help.
Rajib,Adhikary,CEO,KAALO,"Hi Rajib, we have experience designers and design-strategy leads with industrial and communications design background — practitioners who understand the multi-disciplinary studio model KAALO has built across Austin and Nashville over 30 years. Low-key ask: a short list to react to. Would a two-line summary be useful on your end?",49,Would a two-line summary be useful on your end?
Amrita,Adhikary,Founder/Designer,KAALO,"Hi Amrita, we have UI and communications designers with sustainability-focused product and environment design experience — creatives who fit the design-futurist approach KAALO brings from Austin. Just a few names worth a glance. Curious if that is on your radar right now?",42,Curious if that is on your radar right now?
Raymond,Brancato,Chief Executive Officer (CEO),Tufin,"Hi Raymond, we have network-security engineers and policy-automation specialists with firewall orchestration and compliance background — people who understand the control-plane complexity Tufin manages for hybrid environments in New Jersey. Simple pass-along. Mind if I send over a short list to react to?",44,Mind if I send over a short list to react to?
Quinton,Newman,Founder,DaaS - Developers As A Service,"Hi Quinton, we have full-stack developers and technical consultants who work well with non-technical founders — builders who match the accessible, high-quality dev-services model DaaS runs from Georgia. Veteran-friendly bench, just a few names. Open to hearing whether this fits your current needs?",45,Open to hearing whether this fits your current needs?
Carlos,E.,Executive Chairman & Founder,Clientship CX,"Hi Carlos, we have CX analysts and journey-mapping specialists with enterprise SaaS and customer-experience optimization background — people who understand the analytics-and-communications layer Clientship builds in Phoenix. No pressure, just profiles to skim. Could I float a couple names your way?",43,Could I float a couple names your way?
William,Falcon,"Founder, CEO",Lightning AI,"Hi William, we have ML infrastructure engineers and PyTorch practitioners with GPU training and model-serving experience — builders who know the dev-platform workflow Lightning has pioneered from New York. Not recruiting for you, just names that might click. Worth a quick look if timing lines up?",45,Worth a quick look if timing lines up?
Jose,Ramos,Chief Executive Officer,Lightning AI,"Hi Jose, we have deep-learning engineers and MLOps specialists with browser-based training and deployment background — people who fit the from-idea-to-AI pipeline Lightning AI runs in Texas. Light note on who we have been speaking with. Open to a brief note on who we have in mind?",46,Open to a brief note on who we have in mind?
Matt,Allison,Founder & CEO,Handraise,"Hi Matt, we have communications technologists and narrative-intelligence builders with brand-perception and crisis-monitoring experience — people who understand the reputation-engineering space Handraise is defining in Austin. Just a couple names in motion. Happy to share a few profiles if that would help.",44,Happy to share a few profiles if that would help.
Bob,Hale,CEO,Alterian,"Hi Bob, we have customer-journey analysts and CX data scientists with behavioral-analytics and journey-intelligence background — practitioners who match the insight layer Alterian delivers from Denver. Casual ask: a short list to react to. Would a two-line summary be useful on your end?",43,Would a two-line summary be useful on your end?
Zerzar,Bukhari,Co-Founder - Product & Engineering,Marble,"Hi Zerzar, we have product engineers and enterprise-SaaS builders with workflow automation and domain-specific AI experience — people who understand the accounting-firm tooling model Marble is building in San Francisco. Nothing heavy, just profiles worth scanning. Curious if that is on your radar right now?",46,Curious if that is on your radar right now?
Bhavin,Shah,Co-Founder and CEO,Marble,"Hi Bhavin, we have tax-domain engineers and research-automation builders with citation-backed workflow and memo-drafting experience — builders who fit the scale-and-stay-human mission Marble is pursuing for accounting firms. Quiet pass-along of a few names. Mind if I send over a short list to react to?",45,Mind if I send over a short list to react to?
Rasha,Alshami,Founder/CEO,LYNEports,"Hi Rasha, we have AEC and aviation-planning engineers with parametric design and simulation background — people who understand airside planning and advanced-air-mobility workflows like what LYNEports is building. Just names that might fit your team. Open to hearing whether this fits your current needs?",44,Open to hearing whether this fits your current needs?
David,"Pennington, RN, BSN, MBA",Chief Executive Officer,Dr.Evidence,"Hi David, we have regulatory and life-sciences specialists with labeling, compliance, and clinical-intelligence background — people who understand the regulatory-landscape work Dr.Evidence does for pharma teams in Memphis. No pitch, just a few profiles to consider. Could I float a couple names your way?",44,Could I float a couple names your way?
